illustration_id,en,ja
i-0001,difference,違い、差
i-0002,create,創造する、作り出す
i-0003,increase,増える、増やす
i-0004,improve,改善する、向上させる
i-0005,mean,意味する、表す
i-0006,own,所有する、自分のものとして持つ
i-0007,include,含む、含める
i-0008,decide,決定する
i-0009,share,共有する、分け合う
i-0010,idea,考え、発想
i-0011,company,会社、企業
i-0012,reason,理由、根拠
i-0013,repeat,繰り返す、反復する
i-0014,hate,嫌う、憎む
i-0015,although,だけれども、とはいえ
i-0016,normal,普通の、通常の
i-0017,amount,量、金額
i-0018,cost,費用、代償
i-0019,error,誤り、間違い
i-0020,goal,目標、目的
i-0021,period,期間、時代
i-0022,condition,状態、条件
i-0023,develop,発展させる、開発する
i-0024,discover,発見する
i-0025,introduce,紹介する、導入する
i-0026,provide,提供する、供給する
i-0027,support,支援する
i-0028,consider,考える、検討する
i-0029,allow,許す、認める
i-0030,produce,生産する、作り出す
i-0031,offer,申し出る、提供する
i-0032,store,保管する、蓄える
i-0033,describe,説明する、描写する
i-0034,reduce,減らす、小さくする
i-0035,avoid,避ける、回避する
i-0036,realize,気づく、実現する
i-0037,compare,比べる、比較する
i-0038,exist,存在する、実在する
i-0039,mark,印をつける、示す
i-0040,complete,完成させる、やり遂げる
i-0041,interest,関心、興味
i-0042,research,研究、調査
i-0043,cause,原因、要因
i-0044,effect,影響、効果
i-0045,situation,状況、事態
i-0046,environment,環境、周囲の状況
i-0047,skill,技能、スキル
i-0048,matter,事柄、重要である
i-0049,view,見方、意見
i-0050,value,価値、有用性
i-0051,thought,考え、思考
i-0052,knowledge,知識、知見
i-0053,memory,記憶、思い出
i-0054,article,記事、品目
i-0055,subject,主題、科目
i-0056,project,計画、企画
i-0057,role,役割、役目
i-0058,community,共同体、地域社会
i-0059,culture,文化、教養
i-0060,possible,可能な、あり得る
i-0061,common,一般的な、共通の
i-0062,similar,似た、類似の
i-0063,various,さまざまな、多様な
i-0064,blank,空白の
i-0065,correct,正しい、訂正する
i-0066,notice,気づく、通知
i-0067,approach,近づく、取り組み方
i-0068,wonder,不思議に思う、気になる
i-0069,imagine,想像する、思い描く
i-0070,recognize,認識する、見分ける
i-0071,draw,描く、引き出す
i-0072,spread,広げる、蔓延する
i-0073,prepare,準備する
i-0074,gain,得る、増える
i-0075,prefer,の方をより好む
i-0076,mention,言及する、触れる
i-0077,contain,含む、収容する
i-0078,contact,連絡する、接触する
i-0079,respect,尊敬する、尊重する
