line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,2000,5433,00:00:02:00,I'm so hungry I could die.,お腹が減った死にそうだ,Tengo tanta hambre que podría morir.,Estou com tanta fome que posso morrer.,Aku lapar sekali sampai rasanya bisa mati.,배가 너무 고파서 죽을 것 같아.,Açlıktan ölebilirim.
L002,S002,5433,9433,00:00:05:13,I'm making it now. Wait a little longer.,今作ってるからもう少し待って,Lo estoy preparando ahora. Espera un poco más.,Estou fazendo agora. Espera só mais um pouco.,Aku sedang membuatnya sekarang. Tunggu sebentar lagi.,지금 만들고 있으니까 조금만 더 기다려.,Şimdi yapıyorum. Biraz daha bekle.
L003,S003,9433,14400,00:00:09:13,I can't wait. I'll pass out in ten seconds.,もう待てない あと10秒で倒れる,No puedo esperar. Me voy a desmayar en diez segundos.,Não posso esperar. Vou desmaiar em dez segundos.,Aku tidak bisa menunggu. Sepuluh detik lagi aku akan pingsan.,더는 못 기다리겠어. 10초 안에 쓰러질 것 같아.,Bekleyemem. On saniye içinde bayılacağım.
L004,S004,14400,17400,00:00:14:12,Then pass out and be quiet.,じゃあ倒れて静かにしてて,Entonces desmáyate y quédate callado.,Então desmaia e fica quieto.,Kalau begitu pingsan saja dan diamlah.,그럼 쓰러져서 조용히 있어.,O zaman bayıl ve sessiz ol.
L005,S005,17400,20967,00:00:17:12,The service here is slow.,この店はサービスが遅いな,El servicio aquí es lento.,O serviço aqui é lento.,Pelayanan di sini lambat sekali.,이 집은 서비스가 느리네.,Buradaki servis yavaş.
L006,S006,20967,23733,00:00:20:29,This is not a restaurant.,ここはレストランじゃないわよ,Esto no es un restaurante.,Aqui não é restaurante.,Ini bukan restoran.,여긴 레스토랑이 아니야.,Burası restoran değil.
L007,S007,23733,29067,00:00:23:22,"If you make me wait too long, I'll leave a review.",長い時間待たされるとレビューを書いてやる,"Si me haces esperar demasiado, voy a dejar una reseña.","Se me fizer esperar muito, vou deixar uma avaliação.","Kalau kamu membuatku menunggu terlalu lama, akan kutulis ulasan.",너무 오래 기다리게 하면 리뷰를 써 주겠어.,"Beni çok uzun süre beklersen, bir yorum yazarım."
L008,S008,29067,32667,00:00:29:02,Be quiet. You still haven't passed out.,うるさいわ なかなか倒れないわね,Cállate. Todavía no te has desmayado.,Fica quieto. Você ainda nem desmaiou.,Diam. Kamu saja masih belum pingsan.,시끄러워. 아직도 안 쓰러지잖아.,Sessiz ol. Hâlâ bayılmadın.
L009,S009,32667,35500,00:00:32:20,Zero stars.,星ゼロだ,Cero estrellas.,Zero estrelas.,Bintang nol.,별점 0점이다.,Sıfır yıldız.
L010,S010,35500,37867,00:00:35:15,You still look fine.,まだ元気そうね,Todavía te ves bien.,Você ainda parece bem.,Kamu masih kelihatan baik-baik saja.,아직 멀쩡해 보이는데.,Hâlâ iyi görünüyorsun.
L011,S011,37867,40467,00:00:37:26,I want coffee.,コーヒーが飲みたい,Quiero café.,Quero café.,Aku mau kopi.,커피가 마시고 싶어.,Kahve istiyorum.
L012,S012,40467,43200,00:00:40:14,We have instant coffee.,インスタントコーヒーならあるわよ,Tenemos café instantáneo.,"Se for café instantâneo, tem.","Kalau kopi instan, ada.",인스턴트커피라면 있어.,Hazır kahvemiz var.
L013,S013,43200,48000,00:00:43:06,Instant? I want freshly ground coffee!,インスタント？豆から挽いたコーヒーが飲みたい,¿Instantáneo? ¡Quiero café recién molido!,Instantâneo? Eu quero café moído na hora!,Instan? Aku mau kopi yang baru digiling!,인스턴트? 난 원두를 갓 갈아 만든 커피가 마시고 싶어!,Hazır mı? Ben taze çekilmiş kahve istiyorum!
L014,S014,48000,50800,00:00:48:00,This is not a cafe.,ここはカフェじゃないのよ,Esto no es una cafetería.,Aqui não é cafeteria.,Ini bukan kafe.,여긴 카페가 아니거든.,Burası kafe değil.
L015,S015,50800,54967,00:00:50:24,Then you should turn this place into a cafe.,じゃあカフェにするべきだ,Entonces deberías convertir este lugar en una cafetería.,Então você devia transformar este lugar numa cafeteria.,Kalau begitu kamu seharusnya mengubah tempat ini menjadi kafe.,그럼 여길 카페로 바꿔야지.,O zaman burayı kafeye çevirmelisin.
L016,S016,54967,57367,00:00:54:29,Who's going to do that?,誰がやるのよ,¿Y quién va a hacer eso?,E quem vai fazer isso?,Siapa yang akan melakukan itu?,누가 그걸 하는데?,Bunu kim yapacak?
L017,S017,57367,60433,00:00:57:11,"You, of course.",もちろん君だ,"Tú, por supuesto.","Você, é claro.",Tentu saja kamu.,물론 너지.,Tabii ki sen.
L018,S018,60433,62900,00:01:00:13,I'm not doing that.,やらないわよ,No voy a hacer eso.,Não vou fazer isso.,Aku tidak akan melakukan itu.,난 안 해.,Ben bunu yapmam.
L019,S019,62900,66000,00:01:02:27,The service here is terrible.,サービスの質が低すぎる,El servicio aquí es terrible.,O serviço aqui é péssimo.,Pelayanan di sini parah sekali.,여긴 서비스 수준이 너무 낮아.,Buradaki servis berbat.
L020,S020,66000,68733,00:01:06:00,All you do is complain.,文句ばっかりね,Lo único que haces es quejarte.,Você só faz reclamar.,Kerjamu cuma mengeluh.,넌 불평만 하네.,Tek yaptığın şikâyet etmek.
L021,S021,68733,71600,00:01:08:22,Mornings are important.,朝は大事なんだ,Las mañanas son importantes.,As manhãs são importantes.,Pagi hari itu penting.,아침은 중요하다고.,Sabahlar önemlidir.
L022,S022,71600,73967,00:01:11:18,Then make your own.,じゃあ自分で淹れなさい,Entonces hazlo tú mismo.,Então faz o seu.,Kalau begitu buat sendiri.,그럼 직접 타 마셔.,O zaman kendin yap.
L023,S023,73967,77800,00:01:13:29,You want a customer to make his own coffee?,客にコーヒーを淹れさせるのか,¿Quieres que un cliente prepare su propio café?,Você quer que um cliente faça o próprio café?,Kamu mau pelanggan membuat kopinya sendiri?,손님한테 직접 커피를 타게 하겠다는 거야?,Bir müşterinin kendi kahvesini yapmasını mı istiyorsun?
L024,S024,77800,80600,00:01:17:24,You are not a customer.,あなたは客じゃないわ,Tú no eres un cliente.,Você não é cliente.,Kamu bukan pelanggan.,넌 손님이 아니야.,Sen müşteri değilsin.
L025,S025,80600,83667,00:01:20:18,What kind of place is this?,信じられない店だ,¿Qué clase de lugar es este?,Que tipo de lugar é este?,Tempat macam apa ini?,여긴 대체 무슨 곳이야?,Burası nasıl bir yer böyle?
L026,S026,83667,86900,00:01:23:20,"By the way, what are you making?",ところで 今何を作っている,"Por cierto, ¿qué estás preparando?","Aliás, o que você está fazendo?","Ngomong-ngomong, kamu sedang membuat apa?",그런데 지금 뭐 만들고 있어?,"Bu arada, ne yapıyorsun?"
L027,S027,86900,88900,00:01:26:27,Breakfast.,朝ごはんよ,El desayuno.,Café da manhã.,Sarapan.,아침밥.,Kahvaltı.
L028,S028,88900,91467,00:01:28:27,I can see that.,それは見ればわかる,Eso ya lo veo.,Isso eu já vi.,Itu sih aku juga bisa lihat.,그건 보면 알아.,Onu görebiliyorum.
