line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,533,5767,00:00:00:16,This goose laid one golden egg every morning.,このガチョウは、毎朝ひとつ、金の卵を産みました。,Esta oca ponía un huevo de oro cada mañana.,Essa gansa punha um ovo de ouro todas as manhãs.,Angsa ini bertelur satu butir telur emas setiap pagi.,이 거위는 매일 아침 금알을 하나 낳았습니다.,Bu kaz her sabah bir altın yumurta yumurtluyordu.
L002,S001,5767,8400,00:00:05:23,Just one.,ひとつだけ。,Solo uno.,Apenas um.,Hanya satu.,단 하나뿐이었습니다.,Sadece bir tane.
L003,S002,8400,11600,00:00:08:12,That should have been enough.,それで十分だったはずでした。,Eso debería haber sido suficiente.,Isso deveria ter sido suficiente.,Seharusnya itu sudah cukup.,그것으로 충분했어야 했습니다.,Bu yeterli olmalıydı.
L004,S002,11600,15500,00:00:11:18,But the man could no longer wait.,けれど男は、待てなくなります。,Pero el hombre ya no pudo esperar.,Mas o homem já não conseguia mais esperar.,"Namun, pria itu tidak bisa menunggu lagi.",하지만 남자는 더 이상 기다릴 수 없게 됩니다.,Ama adam artık bekleyemez oldu.
L005,S003,15500,18867,00:00:15:15,"Faster, and more.",もっと早く、もっと多く。,Más rápido y más.,Mais rápido e mais.,"Lebih cepat, dan lebih banyak.","더 빠르게, 더 많이.","Daha hızlı, daha çok."
L006,S003,18867,24067,00:00:18:26,"And then, one morning, he lost everything.",そして、ある朝、彼はすべてを失いました。,"Y entonces, una mañana, lo perdió todo.","E então, em certa manhã, ele perdeu tudo.","Lalu, pada suatu pagi, ia kehilangan segalanya.","그리고 어느 날 아침, 그는 모든 것을 잃었습니다.","Ve sonra, bir sabah, her şeyini kaybetti."
L007,S004,24067,28567,00:00:24:02,The man lived quietly on a small farm.,男は小さな農場で、静かに暮らしていました。,El hombre vivía tranquilamente en una pequeña granja.,O homem vivia em silêncio em uma pequena fazenda.,Pria itu hidup dengan tenang di sebuah ladang kecil.,남자는 작은 농장에서 조용히 살고 있었습니다.,Adam küçük bir çiftlikte sessizce yaşıyordu.
L008,S004,28567,31633,00:00:28:17,Life was not easy.,暮らしは楽ではありませんでした。,La vida no era fácil.,A vida não era fácil.,Hidup tidaklah mudah.,삶은 쉽지 않았습니다.,Hayat kolay değildi.
L009,S004,31633,37733,00:00:31:19,"Even though he worked every day, he had almost no money left.",毎日働いても、手元に残るお金はほとんどありませんでした。,"Aunque trabajaba todos los días, casi no le quedaba dinero.","Mesmo trabalhando todos os dias, quase não lhe sobrava dinheiro.","Meski ia bekerja setiap hari, hampir tidak ada uang yang tersisa di tangannya.",매일 일해도 손에 남는 돈은 거의 없었습니다.,"Her gün çalışmasına rağmen, elinde neredeyse hiç para kalmıyordu."
L010,S005,37733,43767,00:00:37:22,"One morning, he found something strange beside the goose.",ある朝、彼はガチョウのそばで、不思議なものを見つけます。,"Una mañana, encontró algo extraño junto a la oca.","Numa manhã, ele encontrou algo estranho ao lado da gansa.","Pada suatu pagi, ia menemukan sesuatu yang aneh di samping angsa itu.","어느 날 아침, 그는 거위 옆에서 이상한 것을 발견합니다.","Bir sabah, kazın yanında tuhaf bir şey buldu."
L011,S005,43767,48567,00:00:43:23,What was in the nest was a shining golden egg.,巣の中にあったのは、光る金の卵でした。,Lo que había en el nido era un brillante huevo de oro.,O que havia no ninho era um ovo de ouro brilhante.,Yang ada di dalam sarang itu adalah sebuah telur emas yang berkilau.,둥지 안에 있던 것은 빛나는 금알이었습니다.,Yuvanın içinde parlayan bir altın yumurta vardı.
L012,S006,48567,53600,00:00:48:17,"At first, the man could not believe his eyes.",最初、男は自分の目を信じられませんでした。,"Al principio, el hombre no podía creer lo que veían sus ojos.","No início, o homem não conseguiu acreditar no que via.","Pada awalnya, pria itu tidak bisa mempercayai matanya sendiri.",처음에 남자는 자기 눈을 믿을 수 없었습니다.,İlk başta adam gözlerine inanamadı.
L013,S006,53600,56767,00:00:53:18,But it was real gold.,でも、それは本物の金でした。,Pero era oro de verdad.,Mas era ouro de verdade.,"Namun, itu adalah emas sungguhan.",하지만 그것은 진짜 금이었습니다.,Ama bu gerçek altındı.
L014,S007,56767,60933,00:00:56:23,"The next morning, there was another one.",次の朝も、またひとつありました。,"A la mañana siguiente, había otro.","Na manhã seguinte, havia outro.","Keesokan paginya, ada satu lagi.",다음 날 아침에도 또 하나가 있었습니다.,Ertesi sabah bir tane daha vardı.
L015,S007,60933,65600,00:01:00:28,"And the morning after that, there was another one.",その次の朝も、またひとつありました。,"Y a la mañana después de esa, había otro más.","E na manhã depois daquela, havia outro.","Dan pagi setelah itu, ada satu lagi.",그다음 날 아침에도 또 하나가 있었습니다.,Ondan sonraki sabah da bir tane daha vardı.
